lat,lon,add,name,,
40.3614599,-78.88831800000003,"1342 William Penn Avenue, Johnstown, PA 15909, USA",Conemaugh Valley High School,,
40.2876316,-78.91664980000002,"600 Harlan Avenue, Johnstown, PA 15905, USA",Ferndale Area High School,,
40.3320211,-78.75213719999999,"489 Locust Street, Sidman, PA 15955, USA",Forest Hills High School,,
40.7031333,-78.53827969999998,"1466 Beaver Valley Road, Flinton, PA 16640, USA",Glendale High School,,
40.303074,-78.91114759999999,"222 Central Avenue, Johnstown, PA 15905, USA",Greater Johnstown High School,,
40.6556367,-78.78042540000001,"813 35th Street, Northern Cambria, PA 15714, USA",Northern Cambria High School,,
40.4645204,-78.58157189999997,"401 Linden Avenue, Cresson, PA 16630, USA",Penn Cambria High School,,
40.3839927,-78.66588150000001,"85 Mountain Avenue, Portage, PA 15946, USA",Portage Area High School,,
40.2674209,-78.83891840000001,"Academic Avenue, Johnstown, PA 15904, USA",Richland High School,,
40.3167918,-78.97794669999996,"200 Fair Oaks Drive, Johnstown, PA 15905, USA",Westmont Hilltop High School,,
41.5131933,-78.24596939999998,"601 Woodland Avenue, Emporium, PA 15834, USA",Cameron County High School,,
40.78848319999999,-77.90588579999996,"848 Science Park Road, State College, PA 16803, USA",Grace Prep HS,,
40.7857973,-77.7949117,"901 Boalsburg Pike, Boalsburg, PA 16827, USA",St Joseph's Catholic Academy,,
40.9402862,-77.8008547,"751 South Eagle Valley Road, Bellefonte, PA 16823, USA",Bald Eagle Area High School,,
40.9141112,-77.76143789999998,"830 East Bishop Street, Bellefonte, PA 16823, USA",Bellefonte Area High School,,
40.8753154,-77.53029759999998,"4545 Penns Valley Road, Spring Mills, PA 16875, USA",Penns Valley Area High School,,
40.8905118,-78.20985780000001,"502 Philips Street, Philipsburg, PA 16866, USA",Philipsburg Osceola Area High School,,
40.7826424,-77.8595985,"653 Westerly Parkway, State College, PA 16801, USA",State College Area High School,,
41.1361119,-79.70461699999998,"762 Pennsylvania 58, Parker, PA 16049, USA",Allegheny Clarion Valley High School,,
41.2177729,-79.38974029999997,"219 Liberty Street, Clarion, PA 16214, USA",Clarion Area High School,,
41.18526079999999,-79.27565820000001,"4091 C L School Road, Strattanville, PA 16258, USA",Clarion Limestone High School,,
41.2322116,-79.52957979999996,"700 Beatty Avenue, Knox, PA 16232, USA",Keystone High School,,
41.3952148,-79.35503240000003,"10439 Pennsylvania 36, Tionesta, PA 16353, USA",North Clarion High School,,
41.0035268,-79.32017480000002,"910 Broad Street, New Bethlehem, PA 16242, USA",Redbank Valley High School,,
41.0347344,-79.501755,"354 Baker Street #1, Rimersburg, PA 16248, USA",Union High School,,
41.1210115,-78.7583257,"DuBois, PA 15801, USA",Dubois Central Catholic High School,,
40.992332,-78.48268100000001,"2831 Washington Avenue, Clearfield, PA 16830, USA",Clearfield Area High School,,
40.967416,-78.51803000000001,"650 Beech Street, Curwensville, PA 16833, USA",Curwensville Area High School,,
41.1273442,-78.7480372,"425 Orient Avenue, DuBois, PA 15801, USA",DuBois Area High School,,
40.778356,-78.726835,"5239 Ridge Road, Westover, PA 16692, USA",Harmony Area High School,,
40.829514,-78.40344600000003,"4934 Green Acre Road, Houtzdale, PA 16651, USA",Moshannon Valley High School,,
40.9783973,-78.20256069999999,"444 Allport Cutoff, Morrisdale, PA 16858, USA",West Branch High School,,
41.6545983,-80.41818080000002,"West School Drive, Linesville, PA 16424, USA",Conneaut Area Senior High School,,
41.5243271,-80.0516179,"105 2nd Street, Cochranton, PA 16314, USA",Cochranton Area High School,,
41.63519900000001,-80.12695839999998,"930 North Street, Meadville, PA 16335, USA",Meadville Area High School,,
41.4846186,-80.43385719999998,"204 Shenango Street, Jamestown, PA 16134, USA",Jamestown Area High School,,
41.80054330000001,-80.06598259999998,"641 Venango Avenue, Cambridge Springs, PA 16403, USA",Cambridge Springs High School,,
41.6565462,-79.9391549,"30383 Guys Mills Road, Guys Mills, PA 16327, USA",Maplewood High School,,
41.72468,-80.16496589999997,"Mook Road, Saegertown, PA 16433, USA",Saegertown High School,,
41.629478,-79.668474,"302 East Walnut Street, Titusville, PA 16354, USA",Titusville High School,,
41.427745,-78.57203400000003,"600 Maurus Street, St. Marys, PA 15857, USA",Elk County Catholic High School,,
41.50785399999999,-78.68378799999999,"315 High School Road, Johnsonburg, PA 15845, USA",Johnsonburg Area High School,,
41.432985,-78.719359,"1403 Hill Street, Ridgway, PA 15853, USA",Ridgway Area High School,,
41.402243,-78.5604492,"977 South Saint Marys Road, St. Marys, PA 15857, USA",Saint Marys Area High School,,
42.1246505,-80.08842620000001,"225 West 9th Street, Erie, PA 16501, USA",Cathedral Preparatory School,,
42.044711,-80.087041,"8150 Oliver Road, Erie, PA 16509, USA",Erie First Christian Academy,,
42.1009688,-80.05102160000001,"538 East Grandview Boulevard, Mercyhurst University, Erie, PA 16504, USA",Mercyhurst Preparatory  School,,
42.1059569,-80.13695799999999,"2403 West 8th Street, Erie, PA 16505, USA",Villa Maria Academy High School,,
41.9194618,-79.62675860000002,"534 East Pleasant Street, Corry, PA 16407, USA",Corry Area High School,,
42.10193599999999,-80.081977,"3325 Cherry Street, Erie, PA 16508, USA",Central Tech High School,,
42.13728320000001,-80.06274910000002,"1001 Atkins Street, Erie, PA 16503, USA",East High School,,
42.11778,-80.113632,"1330 West 8th Street, Erie, PA 16502, USA",Strong Vincent High School,,
42.021597,-80.24620700000003,"7460 Mccray Road, Fairview, PA 16415, USA",Fairview High School,,
41.9483143,-79.98806719999999,"931 High Street, Waterford, PA 16441, USA",Fort LeBoeuf High School,,
41.91548299999999,-80.12077499999998,"11761 Edinboro Road, Edinboro, PA 16412, USA",General McLane High School,,
42.0081103,-80.33356549999996,"1135 Lake Street, Girard, PA 16417, USA",Girard High School,,
42.161813,-79.954248,"6375 Buffalo Road, Harborcreek, PA 16421, USA",Harbor Creek High School,,
42.150466,-80.00969900000001,"4301 Main Street, Erie, PA 16511, USA",Iroquois High School,,
42.0725904,-80.14693779999999,"3580 West 38th Street, Erie, PA 16506, USA",McDowell High School,,
42.2229641,-79.83331040000002,"1901 Freeport Road, North East, PA 16428, USA",North East High School,,
41.8891497,-80.35378229999998,"200 Harthan Way, Albion, PA 16401, USA",Northwestern High School,,
41.887981,-79.840101,"105 Concord Street, Union City, PA 16438, USA",Union City Area High School,,
42.06795109999999,-79.9566261,"Wattsburg Road, Erie, PA 16509, USA",Seneca High School,,
40.0248765,-79.58045849999996,"611 East Crawford Avenue, Connellsville, PA 15425, USA",Geibel Catholic High School,,
39.8320502,-79.78350369999998,"1119 T502, Uniontown, PA 15401, USA",Albert Gallatin High School,,
39.9692418,-79.87699199999997,"Brownsville High School, 1 Falcon Drive, Brownsville, PA 15417, USA",Brownsville Area High School,,
40.0250676,-79.5737815,"201 Falcon Drive, Connellsville, PA 15425, USA",Connellsville Area High School,,
40.088239,-79.7562279,"142 Constitution Street, Perryopolis, PA 15473, USA",Frazier High School,,
39.9098469,-79.71381020000001,"300 Bailey Avenue, Uniontown, PA 15401, USA",Laurel Highlands High School,,
39.8964928,-79.72033679999998,"146 East Fayette Street, Uniontown, PA 15401, USA",Uniontown Area High School,,
41.46914719999999,-79.12350129999999,"Marienville, PA 16239, USA",Abraxas I / Arlene Lissner High School,,
41.4726752,-79.12337439999999,"120 Birch Street, Marienville, PA 16239, USA",East Forest High School,,
41.58209249999999,-79.40222979999999,"22318 Old Route 62, Allegheny National Forest, Tionesta, PA 16353, USA",West Forest High School,,
39.8965584,-79.97807190000003,"300 West Greene Street, Carmichaels, PA 15320, USA",Carmichaels Area High School,,
39.8952637,-80.1486433,"30 Zimmerman Drive, Waynesburg, PA 15370, USA",Waynesburg Central High School,,
39.9282477,-80.0640836,"1351 Jefferson Road, Jefferson, PA 15344, USA",Jefferson Morgan High School,,
39.8043396,-79.93800240000002,"1000 Mapletown Road, Greensboro, PA 15338, USA",Mapletown High School,,
39.8535349,-80.2804744,"1352 Hargus Creek Road, Waynesburg, PA 15370, USA",West Greene High School,,
40.5030411,-78.01164489999996,"2400 Cassady Avenue #1, Huntingdon, PA 16652, USA",Huntingdon Area High School,,
40.5627808,-78.07642529999998,"7775 Juniata Valley Pike, Alexandria, PA 16611, USA",Juniata Valley High School,,
40.39008,-77.8767479,"706 North Shaver Street, Mount Union, PA 17066, USA",Mount Union Area High School,,
40.1950811,-77.98305649999998,"Three Springs, PA, USA",Southern Huntingdon County Senior High School,,
40.4489695,-79.21917669999999,"100 School Lane, Blairsville, PA 15717, USA",Blairsville High School,,
40.4918132,-79.44961940000002,"84 Trojan Lane, Saltsburg, PA 15681, USA",Saltsburg High School,,
40.5326238,-79.15995049999998,"70 Wildcat Lane, Homer City, PA 15748, USA",Homer Center High School,,
40.6307038,-79.14741270000002,"450 North 5th Street, Indiana, PA 15701, USA",Indiana Area Senior High School,,
40.7700641,-79.05003399999998,"Marion Center, PA 15759, USA",Marion Center Area High School,,
40.6384647,-78.9446668,"6003 Pennsylvania 553, Clymer, PA 15728, USA",Penns Manor Area High School,,
40.7131207,-78.9433646,"Commodore, PA, USA",Purchase Line High School,,
